"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","06.07.2023 00:00 - 06.07.2023 01:00 (CET/CEST)","12","n/e","n/e","756","n/e","0","n/e","n/e","n/e","1","6","0","n/e","n/e","3516","N/A","n/e","0","141","829","726"
"BZN|BE","06.07.2023 01:00 - 06.07.2023 02:00 (CET/CEST)","12","n/e","n/e","730","n/e","0","n/e","n/e","n/e","","37","0","n/e","n/e","3534","N/A","n/e","0","141","575","727"
"BZN|BE","06.07.2023 02:00 - 06.07.2023 03:00 (CET/CEST)","12","n/e","n/e","683","n/e","0","n/e","n/e","n/e","79","2","0","n/e","n/e","3552","N/A","n/e","0","141","642","714"
"BZN|BE","06.07.2023 03:00 - 06.07.2023 04:00 (CET/CEST)","12","n/e","n/e","714","n/e","0","n/e","n/e","n/e","","361","0","n/e","n/e","3565","N/A","n/e","0","140","494","673"
"BZN|BE","06.07.2023 04:00 - 06.07.2023 05:00 (CET/CEST)","12","n/e","n/e","1015","n/e","0","n/e","n/e","n/e","","401","0","n/e","n/e","3577","N/A","n/e","0","142","421","606"
"BZN|BE","06.07.2023 05:00 - 06.07.2023 06:00 (CET/CEST)","12","n/e","n/e","1508","n/e","0","n/e","n/e","n/e","","203","0","n/e","n/e","3594","N/A","n/e","4","142","389","600"
"BZN|BE","06.07.2023 06:00 - 06.07.2023 07:00 (CET/CEST)","10","n/e","n/e","2179","n/e","0","n/e","n/e","n/e","130","","0","n/e","n/e","3613","N/A","n/e","233","142","327","504"
"BZN|BE","06.07.2023 07:00 - 06.07.2023 08:00 (CET/CEST)","10","n/e","n/e","2277","n/e","0","n/e","n/e","n/e","483","","0","n/e","n/e","3625","N/A","n/e","851","140","421","321"
"BZN|BE","06.07.2023 08:00 - 06.07.2023 09:00 (CET/CEST)","10","n/e","n/e","2229","n/e","0","n/e","n/e","n/e","515","","0","n/e","n/e","3636","N/A","n/e","1745","141","329","182"
"BZN|BE","06.07.2023 09:00 - 06.07.2023 10:00 (CET/CEST)","11","n/e","n/e","1892","n/e","0","n/e","n/e","n/e","1","5","0","n/e","n/e","3646","N/A","n/e","2765","137","269","170"
"BZN|BE","06.07.2023 10:00 - 06.07.2023 11:00 (CET/CEST)","11","n/e","n/e","1717","n/e","0","n/e","n/e","n/e","","7","0","n/e","n/e","3656","N/A","n/e","3451","136","205","199"
"BZN|BE","06.07.2023 11:00 - 06.07.2023 12:00 (CET/CEST)","10","n/e","n/e","1802","n/e","0","n/e","n/e","n/e","83","4","0","n/e","n/e","3665","N/A","n/e","3519","133","240","207"
"BZN|BE","06.07.2023 12:00 - 06.07.2023 13:00 (CET/CEST)","10","n/e","n/e","1593","n/e","0","n/e","n/e","n/e","13","4","0","n/e","n/e","3677","N/A","n/e","3439","133","233","181"
"BZN|BE","06.07.2023 13:00 - 06.07.2023 14:00 (CET/CEST)","11","n/e","n/e","1364","n/e","0","n/e","n/e","n/e","","191","0","n/e","n/e","3689","N/A","n/e","3633","136","210","166"
"BZN|BE","06.07.2023 14:00 - 06.07.2023 15:00 (CET/CEST)","13","n/e","n/e","1230","n/e","0","n/e","n/e","n/e","","408","0","n/e","n/e","3701","N/A","n/e","3738","137","97","153"
"BZN|BE","06.07.2023 15:00 - 06.07.2023 16:00 (CET/CEST)","13","n/e","n/e","1174","n/e","0","n/e","n/e","n/e","","597","0","n/e","n/e","3710","N/A","n/e","3775","136","57","123"
"BZN|BE","06.07.2023 16:00 - 06.07.2023 17:00 (CET/CEST)","13","n/e","n/e","1309","n/e","0","n/e","n/e","n/e","","597","0","n/e","n/e","3721","N/A","n/e","3511","150","23","90"
"BZN|BE","06.07.2023 17:00 - 06.07.2023 18:00 (CET/CEST)","13","n/e","n/e","1667","n/e","0","n/e","n/e","n/e","223","","0","n/e","n/e","3734","N/A","n/e","2918","159","23","75"
"BZN|BE","06.07.2023 18:00 - 06.07.2023 19:00 (CET/CEST)","14","n/e","n/e","2407","n/e","0","n/e","n/e","n/e","45","0","0","n/e","n/e","3749","N/A","n/e","2090","166","11","65"
"BZN|BE","06.07.2023 19:00 - 06.07.2023 20:00 (CET/CEST)","13","n/e","n/e","3096","n/e","0","n/e","n/e","n/e","302","","0","n/e","n/e","3761","N/A","n/e","1276","159","2","48"
"BZN|BE","06.07.2023 20:00 - 06.07.2023 21:00 (CET/CEST)","13","n/e","n/e","3431","n/e","0","n/e","n/e","n/e","576","","0","n/e","n/e","3767","N/A","n/e","542","158","2","40"
"BZN|BE","06.07.2023 21:00 - 06.07.2023 22:00 (CET/CEST)","14","n/e","n/e","3619","n/e","0","n/e","n/e","n/e","612","","0","n/e","n/e","3769","N/A","n/e","65","158","6","56"
"BZN|BE","06.07.2023 22:00 - 06.07.2023 23:00 (CET/CEST)","15","n/e","n/e","3647","n/e","0","n/e","n/e","n/e","635","","0","n/e","n/e","3772","N/A","n/e","0","159","6","76"
"BZN|BE","06.07.2023 23:00 - 07.07.2023 00:00 (CET/CEST)","15","n/e","n/e","3567","n/e","0","n/e","n/e","n/e","73","1","0","n/e","n/e","3775","N/A","n/e","0","164","14","102"
