Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|AL,Actual Total Load [MW] - BZN|AL
BZN|BE,06.07.2023 00:00 - 06.07.2023 01:00 (CET/CEST),12.0,n/e,n/e,756.0,n/e,0.0,n/e,n/e,n/e,1.0,6.0,0.0,n/e,n/e,3516.0,,n/e,0.0,141.0,829.0,726.0,06.07.2023 00:00 - 06.07.2023 00:15,614,
BZN|BE,06.07.2023 01:00 - 06.07.2023 02:00 (CET/CEST),12.0,n/e,n/e,730.0,n/e,0.0,n/e,n/e,n/e,,37.0,0.0,n/e,n/e,3534.0,,n/e,0.0,141.0,575.0,727.0,06.07.2023 00:15 - 06.07.2023 00:30,614,
BZN|BE,06.07.2023 02:00 - 06.07.2023 03:00 (CET/CEST),12.0,n/e,n/e,683.0,n/e,0.0,n/e,n/e,n/e,79.0,2.0,0.0,n/e,n/e,3552.0,,n/e,0.0,141.0,642.0,714.0,06.07.2023 00:30 - 06.07.2023 00:45,614,
BZN|BE,06.07.2023 03:00 - 06.07.2023 04:00 (CET/CEST),12.0,n/e,n/e,714.0,n/e,0.0,n/e,n/e,n/e,,361.0,0.0,n/e,n/e,3565.0,,n/e,0.0,140.0,494.0,673.0,06.07.2023 00:45 - 06.07.2023 01:00,614,
BZN|BE,06.07.2023 04:00 - 06.07.2023 05:00 (CET/CEST),12.0,n/e,n/e,1015.0,n/e,0.0,n/e,n/e,n/e,,401.0,0.0,n/e,n/e,3577.0,,n/e,0.0,142.0,421.0,606.0,06.07.2023 01:00 - 06.07.2023 01:15,554,
BZN|BE,06.07.2023 05:00 - 06.07.2023 06:00 (CET/CEST),12.0,n/e,n/e,1508.0,n/e,0.0,n/e,n/e,n/e,,203.0,0.0,n/e,n/e,3594.0,,n/e,4.0,142.0,389.0,600.0,06.07.2023 01:15 - 06.07.2023 01:30,554,
BZN|BE,06.07.2023 06:00 - 06.07.2023 07:00 (CET/CEST),10.0,n/e,n/e,2179.0,n/e,0.0,n/e,n/e,n/e,130.0,,0.0,n/e,n/e,3613.0,,n/e,233.0,142.0,327.0,504.0,06.07.2023 01:30 - 06.07.2023 01:45,554,
BZN|BE,06.07.2023 07:00 - 06.07.2023 08:00 (CET/CEST),10.0,n/e,n/e,2277.0,n/e,0.0,n/e,n/e,n/e,483.0,,0.0,n/e,n/e,3625.0,,n/e,851.0,140.0,421.0,321.0,06.07.2023 01:45 - 06.07.2023 02:00,554,
BZN|BE,06.07.2023 08:00 - 06.07.2023 09:00 (CET/CEST),10.0,n/e,n/e,2229.0,n/e,0.0,n/e,n/e,n/e,515.0,,0.0,n/e,n/e,3636.0,,n/e,1745.0,141.0,329.0,182.0,06.07.2023 02:00 - 06.07.2023 02:15,527,
BZN|BE,06.07.2023 09:00 - 06.07.2023 10:00 (CET/CEST),11.0,n/e,n/e,1892.0,n/e,0.0,n/e,n/e,n/e,1.0,5.0,0.0,n/e,n/e,3646.0,,n/e,2765.0,137.0,269.0,170.0,06.07.2023 02:15 - 06.07.2023 02:30,527,
BZN|BE,06.07.2023 10:00 - 06.07.2023 11:00 (CET/CEST),11.0,n/e,n/e,1717.0,n/e,0.0,n/e,n/e,n/e,,7.0,0.0,n/e,n/e,3656.0,,n/e,3451.0,136.0,205.0,199.0,06.07.2023 02:30 - 06.07.2023 02:45,527,
BZN|BE,06.07.2023 11:00 - 06.07.2023 12:00 (CET/CEST),10.0,n/e,n/e,1802.0,n/e,0.0,n/e,n/e,n/e,83.0,4.0,0.0,n/e,n/e,3665.0,,n/e,3519.0,133.0,240.0,207.0,06.07.2023 02:45 - 06.07.2023 03:00,527,
BZN|BE,06.07.2023 12:00 - 06.07.2023 13:00 (CET/CEST),10.0,n/e,n/e,1593.0,n/e,0.0,n/e,n/e,n/e,13.0,4.0,0.0,n/e,n/e,3677.0,,n/e,3439.0,133.0,233.0,181.0,06.07.2023 03:00 - 06.07.2023 03:15,516,
BZN|BE,06.07.2023 13:00 - 06.07.2023 14:00 (CET/CEST),11.0,n/e,n/e,1364.0,n/e,0.0,n/e,n/e,n/e,,191.0,0.0,n/e,n/e,3689.0,,n/e,3633.0,136.0,210.0,166.0,06.07.2023 03:15 - 06.07.2023 03:30,516,
BZN|BE,06.07.2023 14:00 - 06.07.2023 15:00 (CET/CEST),13.0,n/e,n/e,1230.0,n/e,0.0,n/e,n/e,n/e,,408.0,0.0,n/e,n/e,3701.0,,n/e,3738.0,137.0,97.0,153.0,06.07.2023 03:30 - 06.07.2023 03:45,516,
BZN|BE,06.07.2023 15:00 - 06.07.2023 16:00 (CET/CEST),13.0,n/e,n/e,1174.0,n/e,0.0,n/e,n/e,n/e,,597.0,0.0,n/e,n/e,3710.0,,n/e,3775.0,136.0,57.0,123.0,06.07.2023 03:45 - 06.07.2023 04:00,516,
BZN|BE,06.07.2023 16:00 - 06.07.2023 17:00 (CET/CEST),13.0,n/e,n/e,1309.0,n/e,0.0,n/e,n/e,n/e,,597.0,0.0,n/e,n/e,3721.0,,n/e,3511.0,150.0,23.0,90.0,06.07.2023 04:00 - 06.07.2023 04:15,516,
BZN|BE,06.07.2023 17:00 - 06.07.2023 18:00 (CET/CEST),13.0,n/e,n/e,1667.0,n/e,0.0,n/e,n/e,n/e,223.0,,0.0,n/e,n/e,3734.0,,n/e,2918.0,159.0,23.0,75.0,06.07.2023 04:15 - 06.07.2023 04:30,516,
BZN|BE,06.07.2023 18:00 - 06.07.2023 19:00 (CET/CEST),14.0,n/e,n/e,2407.0,n/e,0.0,n/e,n/e,n/e,45.0,0.0,0.0,n/e,n/e,3749.0,,n/e,2090.0,166.0,11.0,65.0,06.07.2023 04:30 - 06.07.2023 04:45,516,
BZN|BE,06.07.2023 19:00 - 06.07.2023 20:00 (CET/CEST),13.0,n/e,n/e,3096.0,n/e,0.0,n/e,n/e,n/e,302.0,,0.0,n/e,n/e,3761.0,,n/e,1276.0,159.0,2.0,48.0,06.07.2023 04:45 - 06.07.2023 05:00,516,
BZN|BE,06.07.2023 20:00 - 06.07.2023 21:00 (CET/CEST),13.0,n/e,n/e,3431.0,n/e,0.0,n/e,n/e,n/e,576.0,,0.0,n/e,n/e,3767.0,,n/e,542.0,158.0,2.0,40.0,06.07.2023 05:00 - 06.07.2023 05:15,544,
BZN|BE,06.07.2023 21:00 - 06.07.2023 22:00 (CET/CEST),14.0,n/e,n/e,3619.0,n/e,0.0,n/e,n/e,n/e,612.0,,0.0,n/e,n/e,3769.0,,n/e,65.0,158.0,6.0,56.0,06.07.2023 05:15 - 06.07.2023 05:30,544,
BZN|BE,06.07.2023 22:00 - 06.07.2023 23:00 (CET/CEST),15.0,n/e,n/e,3647.0,n/e,0.0,n/e,n/e,n/e,635.0,,0.0,n/e,n/e,3772.0,,n/e,0.0,159.0,6.0,76.0,06.07.2023 05:30 - 06.07.2023 05:45,544,
BZN|BE,06.07.2023 23:00 - 07.07.2023 00:00 (CET/CEST),15.0,n/e,n/e,3567.0,n/e,0.0,n/e,n/e,n/e,73.0,1.0,0.0,n/e,n/e,3775.0,,n/e,0.0,164.0,14.0,102.0,06.07.2023 05:45 - 06.07.2023 06:00,544,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 06:00 - 06.07.2023 06:15,622,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 06:15 - 06.07.2023 06:30,622,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 06:30 - 06.07.2023 06:45,622,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 06:45 - 06.07.2023 07:00,622,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 07:00 - 06.07.2023 07:15,747,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 07:15 - 06.07.2023 07:30,747,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 07:30 - 06.07.2023 07:45,747,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 07:45 - 06.07.2023 08:00,747,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 08:00 - 06.07.2023 08:15,846,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 08:15 - 06.07.2023 08:30,846,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 08:30 - 06.07.2023 08:45,846,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 08:45 - 06.07.2023 09:00,846,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 09:00 - 06.07.2023 09:15,877,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 09:15 - 06.07.2023 09:30,877,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 09:30 - 06.07.2023 09:45,877,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 09:45 - 06.07.2023 10:00,877,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 10:00 - 06.07.2023 10:15,890,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 10:15 - 06.07.2023 10:30,890,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 10:30 - 06.07.2023 10:45,890,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 10:45 - 06.07.2023 11:00,890,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 11:00 - 06.07.2023 11:15,894,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 11:15 - 06.07.2023 11:30,894,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 11:30 - 06.07.2023 11:45,894,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 11:45 - 06.07.2023 12:00,894,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 12:00 - 06.07.2023 12:15,902,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 12:15 - 06.07.2023 12:30,902,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 12:30 - 06.07.2023 12:45,902,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 12:45 - 06.07.2023 13:00,902,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 13:00 - 06.07.2023 13:15,922,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 13:15 - 06.07.2023 13:30,922,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 13:30 - 06.07.2023 13:45,922,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 13:45 - 06.07.2023 14:00,922,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:00 - 06.07.2023 14:15,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:15 - 06.07.2023 14:30,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:30 - 06.07.2023 14:45,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:45 - 06.07.2023 15:00,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:00 - 06.07.2023 15:15,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:15 - 06.07.2023 15:30,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:30 - 06.07.2023 15:45,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:45 - 06.07.2023 16:00,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:00 - 06.07.2023 16:15,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:15 - 06.07.2023 16:30,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:30 - 06.07.2023 16:45,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:45 - 06.07.2023 17:00,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:00 - 06.07.2023 17:15,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:15 - 06.07.2023 17:30,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:30 - 06.07.2023 17:45,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:45 - 06.07.2023 18:00,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:00 - 06.07.2023 18:15,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:15 - 06.07.2023 18:30,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:30 - 06.07.2023 18:45,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:45 - 06.07.2023 19:00,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:00 - 06.07.2023 19:15,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:15 - 06.07.2023 19:30,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:30 - 06.07.2023 19:45,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:45 - 06.07.2023 20:00,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:00 - 06.07.2023 20:15,958,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:15 - 06.07.2023 20:30,958,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:30 - 06.07.2023 20:45,958,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:45 - 06.07.2023 21:00,958,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 21:00 - 06.07.2023 21:15,960,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 21:15 - 06.07.2023 21:30,960,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 21:30 - 06.07.2023 21:45,960,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 21:45 - 06.07.2023 22:00,960,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 22:00 - 06.07.2023 22:15,860,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 22:15 - 06.07.2023 22:30,860,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 22:30 - 06.07.2023 22:45,860,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 22:45 - 06.07.2023 23:00,860,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 23:00 - 06.07.2023 23:15,723,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 23:15 - 06.07.2023 23:30,723,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 23:30 - 06.07.2023 23:45,723,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 23:45 - 07.07.2023 00:00,723,
